,CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
248303,CERTIFIED,computer programmer and analyst,N,45011.0,2016.0,texas
189632,CERTIFIED,computer systems analyst 3,Y,85280.0,2016.0,new jersey
1038868,CERTIFIED,computer programmer,Y,65021.0,2015.0,california
827765,CERTIFIED,programmer analyst,Y,65021.0,2015.0,california
2667165,CERTIFIED,computer systems engineer,Y,58573.0,2011.0,illinois
1535554,CERTIFIED,programmer analyst,Y,69805.0,2014.0,new jersey
2469240,CERTIFIED,programmer analyst,Y,57283.0,2012.0,california
1030675,WITHDRAWN,computer systems analyst,Y,60278.0,2015.0,florida
1198370,CERTIFIED,programmer analyst,Y,69826.0,2015.0,north carolina
2081740,CERTIFIED-WITHDRAWN,computer programmer analyst,Y,60965.0,2013.0,indiana
273790,CERTIFIED,programmer analyst (testing),N,60070.0,2016.0,illinois
648363,CERTIFIED-WITHDRAWN,computer systems administrator,Y,57616.0,2015.0,arizona
775817,CERTIFIED,programmer analyst,Y,65083.0,2015.0,new jersey
1628500,CERTIFIED,computer systems engineer/architect,Y,66685.0,2014.0,california
867142,CERTIFIED,programmer analyst level 1,Y,60000.0,2015.0,oregon
267690,CERTIFIED,programmer analyst,N,45011.0,2016.0,texas
487725,CERTIFIED,programmer analyst,N,56410.0,2016.0,texas
928854,CERTIFIED,programmer analyst,Y,48110.0,2015.0,texas
2839786,CERTIFIED,computer programmer,Y,55266.0,2011.0,kentucky
223553,CERTIFIED,computer programmer/developer,N,50398.0,2016.0,south carolina
2450525,CERTIFIED,programmer analyst,Y,67414.0,2012.0,virginia
255021,CERTIFIED,computer programmer/configurer 2,Y,76357.0,2016.0,new jersey
1510774,CERTIFIED,computer system analyst,Y,62442.0,2014.0,new jersey
1924333,CERTIFIED,software engineer,Y,97858.0,2013.0,california
2531104,CERTIFIED,computer systems administrator,Y,49546.0,2012.0,texas
1915695,CERTIFIED,programmer analyst,Y,53664.0,2013.0,michigan
2639168,CERTIFIED-WITHDRAWN,software engineer,Y,75608.0,2012.0,california
1049428,CERTIFIED,application programmer,Y,55203.0,2015.0,michigan
1209749,CERTIFIED,computer programmer,Y,61693.0,2015.0,florida
